election,county,registered_voters,total_votes_cast,absentee_by_mail_voters,early_voters,per_voter_turnout,per_early_voters,per_early_absentee_voters
2006-11-07,Anderson,46983,23966,679,11503,0.5100993976544708,0.4799716264708337,0.5083034298589668
2006-11-07,Bedford,21092,10983,113,4224,0.5207187559264176,0.38459437312209777,0.39488300100154783
2006-11-07,Benton,11412,5716,99,3344,0.500876270592359,0.5850244926522044,0.6023442967109867
2006-11-07,Bledsoe,11128,4063,111,1054,0.36511502516175415,0.2594142259414226,0.2867339404380999
2006-11-07,Blount,77121,36746,725,11557,0.4764720374476472,0.31451042290317316,0.334240461546835
2006-11-07,Bradley,54961,26919,447,15632,0.4897836647804807,0.5807050781975557,0.5973104498681229
2006-11-07,Campbell,22174,10460,230,4820,0.4717236402994498,0.4608030592734226,0.48279158699808794
2006-11-07,Cannon,8812,4394,79,1605,0.49863822060826146,0.36527082385070553,0.3832498862084661
2006-11-07,Carroll,18284,9591,270,4041,0.5245569897177861,0.4213324992180169,0.44948389114795123
2006-11-07,Carter,33446,16961,505,6476,0.5071159480954375,0.38181710984022166,0.41159129768291963
2006-11-07,Cheatham,22776,11740,191,5349,0.5154548647699333,0.45562180579216355,0.47189097103918226
2006-11-07,Chester,10998,4529,84,2043,0.41180214584469904,0.45109295650253917,0.46964009715168914
2006-11-07,Claiborne,17498,7896,149,3024,0.4512515716081838,0.3829787234042553,0.40184903748733536
2006-11-07,Clay,6299,2571,65,1193,0.4081600254008573,0.4640217814080124,0.4893037728510307
2006-11-07,Cocke,19357,10047,246,4757,0.5190370408637702,0.47347466905543945,0.4979595899273415
2006-11-07,Coffee,29351,15747,257,8014,0.5365064222684065,0.508922334412904,0.5252429034101733
2006-11-07,Crockett,9848,4604,3,2073,0.4675060926076361,0.4502606429192007,0.45091225021720244
2006-11-07,Cumberland,35662,19723,492,10842,0.5530536705737199,0.5497135324240734,0.5746590275313086
2006-11-07,Davidson,366971,178043,2557,88197,0.4851691278057394,0.49536909622956254,0.5097307953696579
2006-11-07,Decatur,7801,4028,68,1748,0.5163440584540444,0.4339622641509434,0.45084409136047665
2006-11-07,Dekalb,12916,5727,90,2491,0.44340353050480025,0.4349572201850882,0.4506722542343286
2006-11-07,Dickson,29007,14800,371,5969,0.5102216706312269,0.4033108108108108,0.4283783783783784
2006-11-07,Dyer,23036,11536,97,7043,0.5007813856572322,0.6105235783633842,0.6189320388349514
2006-11-07,Fayette,22417,12627,122,5298,0.5632778694740599,0.4195770966975529,0.42923893244634514
2006-11-07,Fentress,11791,5462,54,2831,0.463234670511407,0.518308311973636,0.5281948004393995
2006-11-07,Franklin,25257,13200,264,5578,0.5226273904264165,0.42257575757575755,0.44257575757575757
2006-11-07,Gibson,30352,16265,243,4243,0.5358790195044808,0.26086689209960034,0.27580694743313866
2006-11-07,Giles,18679,8778,152,4219,0.46993950425611647,0.48063340168603325,0.4979494190020506
2006-11-07,Grainger,11859,5713,139,2282,0.48174382325659837,0.3994398739716436,0.4237703483283739
2006-11-07,Greene,37397,18958,491,7082,0.5069390592828302,0.3735626120898829,0.3994619685620846
2006-11-07,Grundy,8377,3994,112,1163,0.47678166408021966,0.2911867801702554,0.31922884326489737
2006-11-07,Hamblen,33151,17189,341,7472,0.5185062290730295,0.43469660829600326,0.45453487695619293
2006-11-07,Hamilton,184099,109401,2200,38376,0.5942509193423103,0.35078289960786463,0.3708924050054387
2006-11-07,Hancock,5013,2026,113,686,0.40414921204867343,0.33859822309970383,0.3943731490621915
2006-11-07,Hardeman,16964,8190,109,3983,0.48278707851921715,0.4863247863247863,0.49963369963369964
2006-11-07,Hardin,15573,7561,139,3231,0.45341295832530665,0.45758391162724826,0.47726950856819145
2006-11-07,Hawkins,34498,15724,377,7199,0.4557945388138443,0.4578351564487408,0.48181124395828034
2006-11-07,Haywood,12071,6083,155,2313,0.5039350509485544,0.38024001315140554,0.4057208614170639
2006-11-07,Henderson,15758,8917,75,4806,0.5658713034649067,0.538970505775485,0.5473814063025682
2006-11-07,Henry,22371,10065,138,4944,0.4499128335791873,0.4912071535022355,0.5049180327868853
2006-11-07,Hickman,13958,6884,92,2434,0.49319386731623444,0.3535735037768739,0.36693782684485765
2006-11-07,Houston,5298,2766,124,1377,0.522083805209513,0.49783080260303686,0.5426608821402747
2006-11-07,Humphreys,11811,6438,170,3678,0.5450850901701804,0.5712954333643989,0.5977011494252874
2006-11-07,Jackson,8637,4063,61,1287,0.4704179692022693,0.31676101402904255,0.3317745508245139
2006-11-07,Jefferson,26982,13649,403,5713,0.5058557556889778,0.418565462671258,0.44809143526998313
2006-11-07,Johnson,10547,4978,188,2430,0.47198255428083813,0.4881478505423865,0.52591402169546
2006-11-07,Knox,268324,126639,2636,67833,0.47196299995527796,0.5356406794115557,0.5564557521774492
2006-11-07,Lake,4358,1608,37,718,0.3689765947682423,0.4465174129353234,0.4695273631840796
2006-11-07,Lauderdale,15541,7138,370,3322,0.45930120326877294,0.46539646959932757,0.5172317175679462
2006-11-07,Lawrence,26131,12864,194,4818,0.49228885232099806,0.37453358208955223,0.3896144278606965
2006-11-07,Lewis,7986,4081,44,2119,0.5110192837465565,0.5192354814996324,0.5300171526586621
2006-11-07,Lincoln,18816,8332,111,3423,0.44281462585034015,0.41082573211713874,0.4241478636581853
2006-11-07,Loudon,28999,16761,411,9678,0.5779854477740611,0.5774118489350277,0.6019330588867012
2006-11-07,Macon,12577,5708,67,3285,0.45384431899499084,0.5755080588647512,0.5872459705676244
2006-11-07,Madison,60127,30812,588,14135,0.5124486503567449,0.4587498377255615,0.47783331169674154
2006-11-07,Marion,25173,9079,167,2878,0.36066420371032454,0.3169952637955722,0.3353893600616808
2006-11-07,Marshall,16793,8571,155,4093,0.5103912344429227,0.47754054369385135,0.49562478123906195
2006-11-07,Maury,41760,23821,412,12906,0.5704262452107279,0.541790856807019,0.5590865202972167
2006-11-07,Mcminn,27940,14563,350,7009,0.5212240515390122,0.48128819611343815,0.5053217056925084
2006-11-07,Mcnairy,14175,7925,222,3302,0.5590828924162258,0.41665615141955836,0.4446687697160883
2006-11-07,Meigs,8096,3372,103,1776,0.41650197628458496,0.5266903914590747,0.5572360616844603
2006-11-07,Monroe,28736,12895,818,4936,0.4487402561247216,0.3827840248158201,0.4462194649088794
2006-11-07,Montgomery,74861,36259,966,20128,0.4843509971814429,0.555117350175129,0.5817590115557517
2006-11-07,Moore,4229,2205,44,905,0.5213998581224876,0.41043083900226757,0.43038548752834466
2006-11-07,Morgan,10505,5385,110,1996,0.5126130414088529,0.37065923862581246,0.3910863509749304
2006-11-07,Obion,20955,10032,115,4335,0.47874015748031495,0.4321172248803828,0.4435805422647528
2006-11-07,Overton,12682,6826,63,2915,0.5382431793092572,0.42704365660709054,0.43627307354233813
2006-11-07,Perry,5342,2414,65,982,0.4518906776488207,0.4067937033968517,0.43371996685998343
2006-11-07,Pickett,4390,2204,84,841,0.5020501138952164,0.3815789473684211,0.41969147005444646
2006-11-07,Polk,11493,5277,117,1911,0.45914904724614986,0.36213757816941444,0.38430926662876636
2006-11-07,Putnam,39375,20667,313,9504,0.5248761904761905,0.45986355058789374,0.4750084676053612
2006-11-07,Rhea,26286,8719,206,3958,0.3316974815491136,0.45395114118591584,0.47757770386512216
2006-11-07,Roane,35358,18035,502,9187,0.5100684427852255,0.5093983920155254,0.5372331577488217
2006-11-07,Robertson,36349,19199,257,7907,0.5281850945005364,0.4118443668941091,0.42523048075420594
2006-11-07,Rutherford,124903,62327,849,26623,0.49900322650376694,0.4271503521748199,0.44077205705392525
2006-11-07,Scott,13965,5554,108,2800,0.39770855710705333,0.5041411595246669,0.5235866042491898
2006-11-07,Sequatchie,7826,4377,35,2012,0.5592895476616407,0.45967557687914096,0.46767192140735664
2006-11-07,Sevier,51279,23340,321,8690,0.4551570818463699,0.3723221936589546,0.38607540702656384
2006-11-07,Shelby,609213,286591,3859,139296,0.4704282410257168,0.4860445722301119,0.4995097543188725
2006-11-07,Smith,12984,6509,179,3328,0.5013093037584719,0.5112920571516362,0.5387924412352127
2006-11-07,Stewart,8414,4446,154,2124,0.5284050392203471,0.4777327935222672,0.5123706702654071
2006-11-07,Sullivan,89368,46463,1405,24745,0.5199064542117984,0.5325743064373802,0.5628134214321072
2006-11-07,Sumner,87159,47153,904,13334,0.5409997820075954,0.2827815833563082,0.3019532161262274
2006-11-07,Tipton,35041,16917,190,9507,0.48277731799891554,0.5619790743039546,0.5732103800910326
2006-11-07,Trousdale,5176,2666,43,1653,0.5150695517774343,0.6200300075018754,0.63615903975994
2006-11-07,Unicoi,11185,5777,98,2712,0.516495306213679,0.4694478102821534,0.486411632335122
2006-11-07,Union,12185,5599,215,1019,0.459499384489126,0.18199678514020362,0.22039649937488837
2006-11-07,Van Buren,4328,1983,31,685,0.4581792975970425,0.3454362077660111,0.3610690872415532
2006-11-07,Warren,20963,11874,95,5835,0.5664265610838144,0.49140980293077313,0.4994104766717197
2006-11-07,Washington,65013,35090,854,12908,0.5397382062049129,0.3678540894841835,0.3921915075520091
2006-11-07,Wayne,10341,4291,120,1505,0.4149501982400155,0.35073409461663946,0.37869960382195295
2006-11-07,Weakley,19557,10450,125,4479,0.5343355320345656,0.42861244019138756,0.44057416267942584
2006-11-07,White,15443,7923,126,3383,0.513047982904876,0.42698472800706805,0.4428877950271362
2006-11-07,Williamson,108329,61600,747,27254,0.5686381301405903,0.44243506493506496,0.4545616883116883
2006-11-07,Wilson,58881,36321,370,15901,0.61685433331635,0.4377908097244019,0.44797775391646705
2004-11-02,Anderson,45114,31920,980,15197,0.7075408963957973,0.4760964912280702,0.5067982456140351
2004-11-02,Bedford,19660,13922,212,5799,0.7081383519837233,0.41653498060623473,0.4317626777761816
2004-11-02,Benton,10413,7269,194,3882,0.6980697205416306,0.5340486999587288,0.560737377906177
2004-11-02,Bledsoe,8715,4962,95,1144,0.5693631669535284,0.23055219669488108,0.24969770253929868
2004-11-02,Blount,71437,48723,1236,16161,0.6820415191007461,0.3316913983129118,0.357059294378425
2004-11-02,Bradley,54998,35687,921,22193,0.64887814102331,0.6218791156443523,0.6476868327402135
2004-11-02,Campbell,24068,14290,316,5298,0.5937344191457536,0.37074877536738976,0.39286214135759273
2004-11-02,Cannon,8530,5557,106,2248,0.6514654161781946,0.4045348209465539,0.42360986143602664
2004-11-02,Carroll,18949,12208,304,4809,0.6442556335426671,0.39392201834862384,0.4188237221494102
2004-11-02,Carter,31903,22579,725,8971,0.7077390840986741,0.397316090172284,0.4294255724345631
2004-11-02,Cheatham,22874,15877,329,7102,0.6941068462009268,0.44731372425521193,0.468035523083706
2004-11-02,Chester,11191,6402,141,2735,0.5720668394245376,0.42721024679787567,0.4492346141830678
2004-11-02,Claiborne,18174,10674,296,3218,0.5873225486959393,0.30148023234026605,0.3292111673224658
2004-11-02,Clay,5851,3399,68,1323,0.580926337378226,0.38923212709620475,0.4092380111797588
2004-11-02,Cocke,17196,12581,287,4949,0.731623633403117,0.39337095620379936,0.41618313329624035
2004-11-02,Coffee,30715,20327,487,10515,0.6617939117694938,0.5172922713632115,0.541250553451075
2004-11-02,Crockett,9468,5853,132,2525,0.6181875792141952,0.4314026994703571,0.45395523663078763
2004-11-02,Cumberland,36507,24040,619,12645,0.6585038485769852,0.5259983361064892,0.5517470881863561
2004-11-02,Davidson,366521,241834,5002,127729,0.6598093970059015,0.5281680822382295,0.5488516916562601
2004-11-02,Decatur,7810,4959,100,1964,0.634955185659411,0.3960475902399677,0.4162129461584997
2004-11-02,Dekalb,12554,7276,128,3014,0.5795762306834475,0.41423859263331503,0.4318306761957119
2004-11-02,Dickson,27506,19325,447,8290,0.7025739838580674,0.4289780077619664,0.4521086675291074
2004-11-02,Dyer,21876,14059,189,6923,0.642667763759371,0.4924247812788961,0.50586812717832
2004-11-02,Fayette,20823,15135,130,6033,0.7268405128943957,0.39861248761149654,0.407201850016518
2004-11-02,Fentress,11246,6830,139,3608,0.6073270496176418,0.5282576866764275,0.5486090775988287
2004-11-02,Franklin,25979,17305,574,7850,0.6661149389891836,0.4536261196186073,0.48679572377925456
2004-11-02,Gibson,30203,20074,376,4826,0.6646359633149025,0.24041048121948788,0.25914117764272193
2004-11-02,Giles,18896,11723,205,5560,0.620395850973751,0.47428132730529726,0.4917683186897552
2004-11-02,Grainger,12069,7633,151,2660,0.6324467644378159,0.3484868334861784,0.368269356740469
2004-11-02,Greene,34628,24347,653,8980,0.7031015363289823,0.3688339425801947,0.39565449542038034
2004-11-02,Grundy,8020,5055,142,1507,0.6302992518703242,0.29812067260138475,0.3262116716122651
2004-11-02,Hamblen,33707,22564,586,11103,0.6694158483401074,0.49206700939549725,0.5180375819890091
2004-11-02,Hamilton,176671,137272,3516,42567,0.7769922624539398,0.3100923713503118,0.33570575208345477
2004-11-02,Hancock,4932,2580,117,787,0.5231143552311436,0.3050387596899225,0.35038759689922483
2004-11-02,Hardeman,16579,10448,123,4579,0.630194824778334,0.4382656967840735,0.45003828483920366
2004-11-02,Hardin,15322,10183,187,3640,0.6645999216812427,0.35745850928017286,0.3758224491800059
2004-11-02,Hawkins,32812,20553,502,8925,0.6263866877971473,0.43424317617866004,0.45866783437940933
2004-11-02,Haywood,11876,7757,172,2957,0.6531660491748064,0.3812040737398479,0.40337759443083665
2004-11-02,Henderson,16335,10286,160,4786,0.629690847872666,0.4652926307602567,0.4808477542290492
2004-11-02,Henry,21790,13336,261,6522,0.6120238641578706,0.48905218956208757,0.508623275344931
2004-11-02,Hickman,13352,8778,114,4398,0.6574295985620132,0.5010252904989747,0.5140123034859877
2004-11-02,Houston,4936,3601,122,1709,0.7295380875202593,0.47459039155790056,0.5084698694806998
2004-11-02,Humphreys,10552,7886,193,4512,0.7473464746019712,0.5721531828556936,0.5966269338067461
2004-11-02,Jackson,8270,5100,123,1580,0.6166868198307134,0.30980392156862746,0.333921568627451
2004-11-02,Jefferson,24589,17469,560,6754,0.7104396274757006,0.38662774056900795,0.4186845268761807
2004-11-02,Johnson,10104,6573,196,3133,0.6505344418052257,0.47664688878746386,0.5064658451239921
2004-11-02,Knox,278325,180112,3879,108722,0.6471283571364412,0.603635515679133,0.6251721151283646
2004-11-02,Lake,4412,2374,58,933,0.5380779691749773,0.3930075821398484,0.41743892165122154
2004-11-02,Lauderdale,15944,8933,449,3117,0.5602734570998494,0.34893093025859173,0.39919399977611103
2004-11-02,Lawrence,25469,16546,229,5713,0.6496525187482822,0.34527982593980416,0.35912002901003265
2004-11-02,Lewis,7737,5198,77,2683,0.6718366291844384,0.5161600615621393,0.5309734513274337
2004-11-02,Lincoln,18704,12619,257,5214,0.6746685201026519,0.4131864648545844,0.433552579443696
2004-11-02,Loudon,26869,19959,502,10564,0.7428263054077189,0.5292850343203568,0.5544365950197906
2004-11-02,Macon,13111,7546,141,4151,0.5755472504004271,0.5500927643784786,0.5687781606148953
2004-11-02,Madison,58361,39633,906,18545,0.6791007693493943,0.4679181490172331,0.49077788711427345
2004-11-02,Marion,18453,11891,231,3199,0.6443938654961253,0.2690269952064587,0.2884534521907325
2004-11-02,Marshall,16310,10781,236,5148,0.6610055180870632,0.4775067247936184,0.49939708746869493
2004-11-02,Maury,39883,30502,533,18032,0.7647870019807939,0.5911743492230017,0.6086486132056914
2004-11-02,Mcminn,27492,18702,436,8296,0.6802706241815801,0.44358892097101915,0.4669019356218586
2004-11-02,Mcnairy,15097,10073,241,3801,0.6672186527124594,0.37734537873523283,0.4012707237168669
2004-11-02,Meigs,7520,4202,121,1660,0.5587765957446809,0.39504997620180865,0.42384578772013326
2004-11-02,Monroe,24648,15966,838,5843,0.6477604673807206,0.36596517599899786,0.41845170988350244
